Registro;Nombre;Fecha Registro;Empresa;Principio Activo;Control Legal
F-13500/19;BRONCOTUSILAN ADULTO SOLUCIÓN ORAL 250 mg/5 mL;5/02/2004;LABORATORIO PASTEUR S.A.;CARBOCISTEINA;
F-13499/19;BRONCOTUSILAN PEDIÁTRICO SOLUCIÓN ORAL 100 mg/5 mL;5/02/2004;LABORATORIO PASTEUR S.A.;CARBOCISTEINA;
F-26311/21;BRONFLEM;4/08/2021;OPKO CHILE S.A.;AMBROXOL;
F-26389/21;BRONLIF JARABE 4 mg/5 mL (BROMHEXINA CLORHIDRATO);13/09/2021;OPKO CHILE S.A.;BROMHEXINA;
N-470/18;BRONTEC JARABE 35 mg/ 5 mL;30/10/2008;MINTLAB Co. S.A.;Extracto Seco De Hojas De Helix (5-7.5:1);
F-26275/21;BROPAVOL JARABE 8 mg/ 5 mL (BROMHEXINA CLORHIDRATO);22/07/2021;EUROFARMA CHILE S.A.;BROMHEXINA;
F-16955/18;BROPAVOL JARABE 8 mg/5 mL;25/07/2008;EUROFARMA CHILE S.A.;BROMHEXINA;
H-1163/19;BRYONA D6 GLÓBULOS;21/09/2009;LABORATORIOS BIOSPHARE S.A.;;
H-793/20;BRYONIA D6 COMPRIMIDOS;17/02/1987;KNOP LABORATORIOS S.A.;;
F-14157/19;BUCOGERM TOS COMPRIMIDOS MASTICABLES;3/09/2004;MINTLAB Co. S.A.;CLORHEXIDINA//NOSCAPINA;
F-8879/21;BUCOSEPTIL COLUTORIO 0,2%;15/01/1990;INSTITUTO SANITAS S.A.;CLORHEXIDINA;
N-628/21;BUSCOMINT CÁPSULAS BLANDAS GASTRO-RESISTENTES 0,2 mL;3/08/2021;LABORATORIO MAVER S.A.;ACEITE DE MENTA;
H-807/20;CACTUS COMPRIMIDOS;23/08/1988;KNOP LABORATORIOS S.A.;;
H-780/20;CACTUS D6 COMPRIMIDOS;24/03/1987;KNOP LABORATORIOS S.A.;;
F-829/18;CADEVIT CÁPSULAS BLANDAS;16/10/1998;LABORATORIOS RECALCINE S.A.;CALCIO CARBONATO//COLECALCIFEROL;
F-1482/18;CAFIASPIRINA COMPRIMIDOS;29/10/1947;BAYER S.A.;ACIDO ACETILSALICILICO//CAFEINA;
F-1620/18;CAFRENAL COMPRIMIDOS;21/12/1937;LABORATORIOS RECALCINE S.A.;ACIDO ACETILSALICILICO//CAFEINA;
F-9084/21;CALCIGRAN D 320 CÁPSULAS;12/10/2001;ITF - LABOMED FARMACÉUTICA LTDA.;CALCIO CARBONATO//COLECALCIFEROL;
F-9085/21;CALCIGRAN D 450 CÁPSULAS;12/10/2001;ITF - LABOMED FARMACÉUTICA LTDA.;CALCIO CARBONATO//COLECALCIFEROL;
F-15657/21;CALCIMAX D3 400 COMPRIMIDOS;10/10/2006;GADOR LTDA.;CALCIO CITRATO//COLECALCIFEROL;
F-26654/22;CALCIO COMPRIMIDOS RECUBIERTOS 500 mg;1/03/2022;MDC HEALTH S.p.A.;CARBONATO DE CALCIO;
F-26783/22;CALCIO/ VITAMINA D 320/150 CÁPSULAS;4/05/2022;LABORATORIOS ANDRÓMACO S.A.;"CALCIO (CARBONATO);Colecalciferol (Vitamina D3)";
H-776/20;CALCIUM CARBONICUM D6 COMPRIMIDOS;14/05/1987;KNOP LABORATORIOS S.A.;;
H-823/20;CALCIUM FLUORICUM D12 COMPRIMIDOS;8/08/1985;KNOP LABORATORIOS S.A.;;
F-6424/20;CALCIUM GRANULADO AL 10%;27/10/1988;LABORATORIO PASTEUR S.A.;CALCIO GLUCONATO;
H-824/20;CALCIUM PHOSPHORICUM D6 COMPRIMIDOS;8/08/1985;KNOP LABORATORIOS S.A.;;
H-825/20;CALCIUM SULFURICUM D12 COMPRIMIDOS;8/08/1985;KNOP LABORATORIOS S.A.;;
H-736/20;CALÉNDULA ECHINACEA COMPUESTO SOLUCIÓN TÓPICA;22/02/1989;KNOP LABORATORIOS S.A.;;
H-578/20;CALÉNDULA TINTURA MADRE SOLUCIÓN ORAL PARA GOTAS;4/08/1988;KNOP LABORATORIOS S.A.;;
N-409/20;CALÉNDULA-MATICO EXTRACTO FLUIDO;1/08/1988;KNOP LABORATORIOS S.A.;;
N-566/20;CALMATOL JARABE;25/09/2015;DROGUERÍA FARMOQUÍMICA DEL PACÍFICO LTDA.;;
N-629/21;CALMATOL JARABE;9/09/2021;DROGUERÍA FARMOQUÍMICA DEL PACÍFICO LTDA.;;
F-537/18;CALMOBET GEL 5%;27/05/1998;INTERPHARMA S.A.;ETOFENAMATO;
H-1231/22;CALMVALERA HEVERT COMPRIMIDOS BUCODISPERSABLES;20/04/2017;SOCIEDAD IMPORTADORA Y COMERCIALIZADORA DE PRODUCTOS PARA LA SALUD LTDA.;;
F-2251/19;CALORUB FORTE CREMA;12/11/1999;DROGUERIA HOFMANN LIMITADA Y COMPAÑIA EN COMANDITA POR ACCIONES;MENTOL//SALICILATO DE METILO;
F-7138/20;CALORUB LOCIÓN TÓPICA;27/11/2000;DROGUERIA HOFMANN LIMITADA Y COMPAÑIA EN COMANDITA POR ACCIONES;MENTOL//SALICILATO DE METILO;
F-4986/20;CALORUB SPORT SOLUCIÓN AEROSOL;5/04/1984;DROGUERIA HOFMANN LIMITADA Y COMPAÑIA EN COMANDITA POR ACCIONES;NICOTINATO//SALICILATO DE ETILO//SALICILATO DE METILO//SALICILATO HIDROXIETILO;
H-792/20;CANTHARIS D6 COMPRIMIDOS;18/02/1987;KNOP LABORATORIOS S.A.;;
H-1164/19;CANTHARIS D6 GLÓBULOS;21/09/2009;LABORATORIOS BIOSPHARE S.A.;;
F-14353/19;CAPRIMIDA - D CÁPSULAS;13/12/2004;LABORATORIOS RECALCINE S.A.;CALCIO CARBONATO//COLECALCIFEROL;
F-10974/21;CAPRIMIDA - D COMPRIMIDOS RECUBIERTOS;17/10/1996;LABORATORIOS RECALCINE S.A.;CALCIO CARBONATO//COLECALCIFEROL;
F-14354/19;CAPRIMIDA - D FORTE CÁPSULAS;13/12/2004;LABORATORIOS RECALCINE S.A.;CALCIO CARBONATO//COLECALCIFEROL;
F-13620/19;CAPRIMIDA - D FORTE COMPRIMIDOS RECUBIERTOS;26/03/2004;LABORATORIOS RECALCINE S.A.;CALCIO CARBONATO//COLECALCIFEROL;
F-15676/21;CAPRIMIDA CÁPSULAS 500 mg;8/09/2006;LABORATORIOS RECALCINE S.A.;CALCIO CARBONATO;
F-10973/21;CAPRIMIDA COMPRIMIDOS RECUBIERTOS 500 mg;2/12/1992;LABORATORIOS RECALCINE S.A.;CALCIO CARBONATO;
F-24040/18;CAPRIMIDA D 500/800 CÁPSULAS;16/08/2018;LABORATORIOS RECALCINE S.A.;CALCIO CARBONATO//COLECALCIFEROL;
F-12991/18;CAPRIMIDA DUO CÁPSULAS BLANDAS 330 mg;10/07/2003;LABORATORIOS RECALCINE S.A.;CALCIO CARBONATO//CALCIO CITRATO;
F-6385/20;CARBON ACTIVADO COMPRIMIDOS 250 mg;9/08/1989;LABORATORIO VALMA SPA;CARBON ACTIVADO;
F-13863/19;CARBON SULFAGUANIDINA COMPRIMIDOS;21/06/2004;LABORATORIO VALMA SPA;CARBON ACTIVADO//SULFAGUANIDINA;
H-788/20;CARBON VEGETAL D6 COMPRIMIDOS;19/03/1987;KNOP LABORATORIOS S.A.;Carbón Vegetal;
F-6129/20;CARBONATO CÁLCICO POLVOS;9/06/1989;KNOP LABORATORIOS S.A.;CALCIO CARBONATO;
F-18948/21;CARDIOASPIRINA 325 EC COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 325 mg;7/10/2011;BAYER S.A.;ACIDO ACETILSALICILICO;
H-1165/19;CARDUUS MARIANUS D6 GLÓBULOS;21/09/2009;LABORATORIOS BIOSPHARE S.A.;;
H-1136/18;CARDUUS MARIANUS T.M.;6/10/2008;LAURA XIMENA POLANCO GONZÁLEZ;;
F-4192/20;CARIAMYL CREMA TÓPICA;7/01/1987;LABORATORIOS PRATER S.A.;ALCANFOR//BENZOCAINA//MENTOL//TRICLOSAN;
F-7344/21;CARIAMYL LOCIÓN DÉRMICA;26/01/2001;LABORATORIOS PRATER S.A.;ALCANFOR//BENZOCAINA//MENTOL//TRICLOSAN;
F-7345/21;CARIAMYL SOLUCIÓN DÉRMICA;26/01/2001;LABORATORIOS PRATER S.A.;ALCANFOR//BENZOCAINA//MENTOL//TRICLOSAN;
F-10421/21;CARISTOP COMPUESTO PASTA DENTAL BIFLUORADA;23/06/1994;LABORATORIO MAVER S.A.;SODIO FLUORFOSFATO//SODIO FLUORURO;
F-16574/17;CARISTOP SENSITIVE PASTA DENTAL;30/11/2007;LABORATORIO MAVER S.A.;POTASIO NITRATO//SODIO FOSFATO;
F-3803/20;CARISTOP SOLUCIÓN PARA ENJUAGATORIO BUCAL 0,05%;1/08/1986;LABORATORIO MAVER S.A.;SODIO FLUORURO;
F-3804/20;CARISTOP SOLUCIÓN PARA ENJUAGATORIO BUCAL 0,2%;23/05/1989;LABORATORIO MAVER S.A.;SODIO FLUORURO;
H-803/20;CARTÍLAGO D6 COMPRIMIDOS;18/07/1988;KNOP LABORATORIOS S.A.;;
N-439/21;CASSIA ANGUSTIFOLIA GRAGEAS ENTÉRICAS;29/12/2006;PHARMASAN LTDA.;;
N-222/18;CASTAÑO DE INDIAS CÁPSULAS 340 mg;10/02/2003;KNOP LABORATORIOS S.A.;;
K-73/20;CASTAÑO HAMAMELIS COMPUESTO SOLUCIÓN PARA GOTAS ORALES;13/03/1989;KNOP LABORATORIOS S.A.;;
H-773/20;CAUSTICUM D6 COMPRIMIDOS;8/04/1987;KNOP LABORATORIOS S.A.;;
N-174/21;CEDRÓN EXTRACTO FLUIDO, SOLUCIÓN PARA GOTAS ORALES;11/04/1990;KNOP LABORATORIOS S.A.;;
F-22468/21;CERCIORA T COMPRIMIDOS 0,75 mg (LEVONORGESTREL);16/02/2016;EXELTIS CHILE S.p.A.;LEVONORGESTREL;
F-24254/18;CERCIORAT COMPRIMIDOS 1,5 mg (LEVONORGESTREL);30/10/2018;EXELTIS CHILE S.p.A.;LEVONORGESTREL;
H-595/20;CHAMOMILLA COMPUESTA SOLUCIÓN ORAL PARA GOTAS;1/03/1989;KNOP LABORATORIOS S.A.;;
H-771/20;CHAMOMILLA D6 COMPRIMIDOS;27/04/1988;KNOP LABORATORIOS S.A.;Chamomilla D6;
H-1000/21;CHAMOMILLA TINTURA MADRE SOLUCIÓN PARA GOTAS ORALES;28/11/1990;KNOP LABORATORIOS S.A.;;
H-586/20;CHELIDONIUM COMPUESTO SOLUCIÓN ORAL PARA GOTAS;4/11/1988;KNOP LABORATORIOS S.A.;;
H-789/20;CHELIDONIUM D6 COMPRIMIDOS;27/04/1988;KNOP LABORATORIOS S.A.;Chelidonium D6;
H-596/20;CHIMAPHILA COMPUESTA SOLUCIÓN ORAL PARA GOTAS;1/03/1989;KNOP LABORATORIOS S.A.;;
H-777/20;CHINA D6 COMPRIMIOS;27/04/1988;KNOP LABORATORIOS S.A.;;
H-1166/19;CHINA D6 GLÓBULOS;21/09/2009;LABORATORIOS BIOSPHARE S.A.;;
F-26164/21;CHLORAPREP ANARANJADO SOLUCION TOPICA;17/05/2021;BECTON DICKINSON DE CHILE;ALCOHOL ISOPROPILICO//CLORHEXIDINA;
F-21944/20;CHLORAPREP COLOREADO SOLUCIÓN TÓPICA;22/06/2015;HOSPITALIA PRODUCTOS MÉDICOS LTDA.;ALCOHOL ISOPROPILICO//CLORHEXIDINA;
F-26162/21;CHLORAPREP INCOLORO SOLUCIÓN TÓPICA (ALCOHOL ISOPROPILICO//CLORHEXIDINA);17/05/2021;BECTON DICKINSON DE CHILE;ALCOHOL ISOPROPILICO//CLORHEXIDINA;
F-21939/20;CHLORAPREP ONE STEP SOLUCIÓN TÓPICA;22/06/2015;HOSPITALIA PRODUCTOS MÉDICOS LTDA.;ALCOHOL ISOPROPILICO//CLORHEXIDINA;
F-18273/20;CHLOROHEX JABÓN CREMOSO 2%;16/09/2010;DIVERSEY INDUSTRIAL Y COMERCIAL CHILE LTDA.;CLORHEXIDINA;
F-18272/20;CHLOROHEX SOLUCIÓN TÓPICA 2%;15/09/2010;DIVERSEY INDUSTRIAL Y COMERCIAL CHILE LTDA.;CLORHEXIDINA;
F-18292/20;CHLOROHEX TINTURA SOLUCIÓN TÓPICA;30/09/2010;DIVERSEY INDUSTRIAL Y COMERCIAL CHILE LTDA.;CLORHEXIDINA;
N-417/20;CICUTA UNGÜENTO TÓPICO;13/10/1987;KNOP LABORATORIOS S.A.;;
K-75/20;CIKAVIT CREMA DÉRMICA;30/06/1988;KNOP LABORATORIOS S.A.;;
H-739/20;CINERARIA D6 SOLUCIÓN PARA GOTAS ORALES;23/10/1989;KNOP LABORATORIOS S.A.;;
H-887/20;CINERARIA MARITIMA COMPUESTA SOLUCIÓN ORAL PARA GOTAS;1/09/1989;KNOP LABORATORIOS S.A.;;
N-30/21;CIRUELAX BOLSAS AUTOFILTRANTES PARA INFUSIÓN;16/04/1997;MEGALABS CHILE S.A.;;
N-488/20;CIRUELAX FORTE COMPRIMIDOS RECUBIERTOS 125 mg;31/08/2010;MEGALABS CHILE S.A.;;
N-503/22;CIRUELAX FORTE JALEA;26/06/2012;MEGALABS CHILE S.A.;;
N-481/20;CIRUELAX III COMPRIMIDOS RECUBIERTOS;15/04/2010;MEGALABS CHILE S.A.;;
N-32/21;CIRUELAX JALEA LAXANTE;10/10/1996;MEGALABS CHILE S.A.;;
N-484/20;CIRUELAX MINITABS COMPRIMIDOS RECUBIERTOS 75 mg;27/05/2010;MEGALABS CHILE S.A.;;
F-10836/21;CLARAGINE COMPRIMIDOS;7/03/1997;LABORATORIOS PRATER S.A.;ALANTOINA//CETILPIRIDINIO CLORURO;
F-15516/21;CLARAGINE SABOR MIEL- LIMÓN COMPRIMIDOS DE DISOLUCIÓN BUCAL;11/05/2006;LABORATORIOS PRATER S.A.;ALANTOINA//CETILPIRIDINIO CLORURO;
F-6598/20;CLARIMIR SOLUCIÓN OFTÁLMICA 0,12 mg/mL;12/05/1988;LABORATORIOS ANDRÓMACO S.A.;NAFAZOLINA;
F-22543/21;CLEAR EYES SOLUCIÓN OFTÁLMICA 0,012 % (NAFAZOLINA CLORHIDRATO);23/03/2016;OPKO CHILE S.A.;NAFAZOLINA;
F-11871/22;CLORHEXIDINA CLORHIDRATO COMPRIMIDOS MASTICABLES 5 mg;30/01/2002;LABORATORIOS SAVAL S.A.;CLORHEXIDINA;
F-11870/22;CLORHEXIDINA CLORHIDRATO NOSCAPINA COMPRIMIDOS MASTICABLES;30/01/2002;LABORATORIOS SAVAL S.A.;CLORHEXIDINA//NOSCAPINA;
F-15068/20;CLORHEXIDINA GLUCONATO 1% - ALCOHOL ETÍLICO 61% SOLUCIÓN TÓPICA;19/08/2005;3M CHILE S.A.;ALCOHOL ETILICO//CLORHEXIDINA;
F-25902/21;CLORHEXIDINA GLUCONATO COLUTORIO 0,12%;5/01/2021;MDC HEALTH S.p.A.;CLORHEXIDINA;
F-12196/22;CLORHEXIDINA GLUCONATO JABÓN LÍQUIDO 2%;28/06/2002;ECOLAB S.A.;CLORHEXIDINA;
F-12197/22;CLORHEXIDINA GLUCONATO JABÓN LÍQUIDO 4%;28/06/2002;ECOLAB S.A.;CLORHEXIDINA;
F-22221/20;CLORUSOL SOLUCIÓN NASAL 3% (CLORURO DE SODIO);28/10/2015;LABORATORIOS SMB FARMA S.A.;SODIO CLORURO;
F-11611/21;CLOTRIMAZOL 1% SOLUCIÓN TÓPICA;13/04/1992;LABORATORIO PASTEUR S.A.;CLOTRIMAZOL;
F-11607/21;CLOTRIMAZOL CREMA DÉRMICA 1%;13/04/1992;LABORATORIO PASTEUR S.A.;CLOTRIMAZOL;
F-17915/20;CLOTRIMAZOL CREMA DÉRMICA 1%;14/01/2010;INSTITUTO SANITAS S.A.;CLOTRIMAZOL;
F-24730/19;CLOTRIMAZOL CREMA TOPICA 1%;27/03/2019;ETHON PHARMACEUTICALS S.p.A.;CLOTRIMAZOL;
F-24783/19;CLOTRIMAZOL CREMA TÓPICA 1% ;17/04/2019;ASCEND LABORATORIES S.p.A.;CLOTRIMAZOL;
F-25307/20;CLOTRIMAZOL CREMA TÓPICA 1%;17/02/2020;B Y B FARMACÉUTICA LTDA.;CLOTRIMAZOL;
F-26239/21;CLOTRIMAZOL CREMA TÓPICA 1%;30/06/2021;MDC HEALTH S.p.A.;CLOTRIMAZOL;
F-21960/20;CLOTRIMAZOL CREMA TÓPICA 1%;1/07/2015;B Y B FARMACÉUTICA LTDA.;CLOTRIMAZOL;
F-24535/19;CLOTRIMAZOL CREMA TÓPICA 1% ;8/01/2019;SCM PHARMA S.p.A.;CLOTRIMAZOL;
F-23910/18;CLOTRIMAZOL CREMA TÓPICA 1%;6/07/2018;LABORATORIO HOSPIFARMA CHILE LTDA.;CLOTRIMAZOL;
F-23564/22;CLOTRIMAZOL CREMA TÓPICA 1%;27/07/2017;DROGUERÍA GLOBAL PHARMA S.p.A.;Clotrimazol;
F-23683/18;CLOTRIMAZOL CREMA TÓPICA 1% ;9/01/2018;ASCEND LABORATORIES S.p.A.;Clotrimazol;
F-6589/20;CLOTRIMAZOL CREMA TÓPICA 1%;26/04/1989;LABORATORIOS ANDRÓMACO S.A.;CLOTRIMAZOL;
F-3902/20;CLOTRIMAZOL CREMA TÓPICA 1%;4/08/1987;LABORATORIO CHILE S.A.;CLOTRIMAZOL;
F-26454/21;CLOTRIMAZOL CREMA TÓPICA 1%;19/10/2021;MEDINOVA FARMA LTDA.;CLOTRIMAZOL;
F-17867/19;CLOTRIMAZOL CREMA TÓPICA 1%;23/12/2009;B Y B FARMACÉUTICA LTDA.;CLOTRIMAZOL;
F-16636/17;CLOTRIMAZOL CREMA TÓPICA 1%;27/12/2007;OPKO CHILE S.A.;CLOTRIMAZOL;
F-20103/18;CLOTRIMAZOL CREMA TÓPICA 1%;25/07/2013;ETHON PHARMACEUTICALS S.p.A.;CLOTRIMAZOL;
F-21019/19;CLOTRIMAZOL CREMA TÓPICA 1%;8/04/2014;LABORATORIO HOSPIFARMA CHILE LTDA.;CLOTRIMAZOL;
F-20104/18;CLOTRIMAZOL CREMA TÓPICA 1,0 %;9/07/2013;OPKO CHILE S.A.;CLOTRIMAZOL;
F-11608/21;CLOTRIMAZOL POLVO 1%;1/06/1992;LABORATORIO PASTEUR S.A.;CLOTRIMAZOL;
F-11673/21;CLOTRIMAZOL POLVO 1%;22/08/1995;LABORATORIO VALMA SPA;CLOTRIMAZOL;
F-20943/19;CLOTRIMIN CREMA TÓPICA 1%;5/03/2014;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;CLOTRIMAZOL;
F-21035/19;CLOTRIMIN POLVO TÓPICO 1%;14/04/2014;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;CLOTRIMAZOL;
F-16733/18;CLOTRIMIN SOLUCIÓN TÓPICA 1%;13/03/2008;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;CLOTRIMAZOL;
H-1293/22;COENZYME COMPOSITUM COMPRIMIDOS SUBLINGUALES;9/02/2022;PRODUCTOS FARMACÉUTICOS HEEL CHILE LTDA.;;
H-783/20;COFFEA D6 COMPRIMIDOS;27/04/1988;KNOP LABORATORIOS S.A.;;
K-58/19;COLANGIOL SOLUCIÓN PARA GOTAS ORALES;9/03/1993;ARAMA NATURAL PRODUCTS DISTRIBUIDORA LTDA.;;
H-779/20;COLOCYNTHIS D6 COMPRIMIDOS;27/04/1988;KNOP LABORATORIOS S.A.;;
H-1167/19;COLOCYNTHIS D6 GLÓBULOS;17/09/2009;LABORATORIOS BIOSPHARE S.A.;;
H-1154/19;COMPLEJO ARMÓNICO N° 12, QUEBRACHO COMPUESTO SOLUCIÓN ORAL PARA GOTAS;13/08/2009;LABORATORIOS BIOSPHARE S.A.;;
H-1153/19;COMPLEJO ARMÓNICO N° 18, NUPHAR COMPUESTO SOLUCIÓN ORAL PARA GOTAS;13/08/2009;LABORATORIOS BIOSPHARE S.A.;;
H-1040/21;COMPLEJO ARMÓNICO N° 30, SOLUCIÓN PARA GOTAS ORALES;30/04/1993;LABORATORIOS BIOSPHARE S.A.;;
H-1046/21;COMPLEJO ARMÓNICO N° 39, SOLUCIÓN PARA GOTAS ORALES;30/04/1993;LABORATORIOS BIOSPHARE S.A.;;
H-1049/21;COMPLEJO ARMÓNICO N° 43, SOLUCIÓN PARA GOTAS ORALES;4/05/1993;LABORATORIOS BIOSPHARE S.A.;;
H-1052/21;COMPLEJO ARMÓNICO N° 47, SOLUCIÓN PARA GOTAS ORALES;4/05/1993;LABORATORIOS BIOSPHARE S.A.;;
H-1062/21;COMPLEJO ARMÓNICO N° 62, SOLUCIÓN PARA GOTAS ORALES;4/05/1993;LABORATORIOS BIOSPHARE S.A.;;
H-1063/21;COMPLEJO ARMÓNICO N° 63, SOLUCIÓN PARA GOTAS ORALES;4/05/1993;LABORATORIOS BIOSPHARE S.A.;;
H-1065/21;COMPLEJO ARMÓNICO N° 66, SOLUCIÓN PARA GOTAS ORALES;21/03/1994;LABORATORIOS BIOSPHARE S.A.;;
H-1100/19;COMPLEJO ARMÓNICO N° 7, AESCULUS COMPUESTO SOLUCIÓN ORAL PARA GOTAS;25/06/2004;LABORATORIOS BIOSPHARE S.A.;;
H-1155/19;COMPLEJO ARMÓNICO N° 8, CANTHARIS COMPUESTO SOLUCIÓN ORAL PARA GOTAS;13/08/2009;LABORATORIOS BIOSPHARE S.A.;;
F-13421/18;CONDROX COMPRIMIDOS;31/12/2003;FARMACÉUTICA MEDCELL LTDA.;CONDROITINA//GLUCOSAMINA;
F-14341/19;CONDROX POLVO PARA SOLUCIÓN ORAL, EN SOBRES;21/12/2004;FARMACÉUTICA MEDCELL LTDA.;CONDROITINA//GLUCOSAMINA;
F-1074/18;CONMEL SUPOSITORIOS 300 mg;30/12/1958;LABORATORIOS LAFI LTDA.;METAMIZOL SODICO;
F-4605/20;CONMEL SUPOSITORIOS 500 mg;1/10/1959;LABORATORIOS LAFI LTDA.;METAMIZOL SODICO;
N-487/20;CORDIAFLAN CREMA TÓPICA 0,5%;16/06/2010;DROGUERÍA FARMOQUÍMICA DEL PACÍFICO S.p.A.;ACEITE ESENCIAL DE CORDIA VERBENACEA DC;
F-8914/21;COTRISAN CREMA DÉRMICA 1%;8/06/1990;INSTITUTO SANITAS S.A.;CLOTRIMAZOL;
H-582/20;CRATAEGUS COMPUESTO SOLUCIÓN ORAL PARA GOTAS;6/10/1988;KNOP LABORATORIOS S.A.;;
H-1168/19;CRATAEGUS D6 GLÓBULOS;17/09/2009;LABORATORIOS BIOSPHARE S.A.;;
H-577/20;CRATAEGUS TINTURA MADRE SOLUCIÓN ORAL PARA GOTAS;28/07/1988;KNOP LABORATORIOS S.A.;;
H-809/20;CRATAEGUS TM COMPRIMIDOS;15/10/1987;KNOP LABORATORIOS S.A.;;
H-1133/18;CRATAEGUS TM SOLUCIÓN PARA GOTAS ORALES;17/07/2008;LAURA XIMENA POLANCO GONZÁLEZ;;
F-6376/20;CREMA AZUFRADA 10%;22/05/1986;LABORATORIO VALMA SPA;AZUFRE;
F-6383/20;CREMA AZUFRADA TÓPICA 6%;30/03/1986;LABORATORIO VALMA SPA;AZUFRE;
F-7431/21;CREMINEM CREMA DÉRMICA 1% (CLOTRIMAZOL);2/02/2001;MINTLAB Co. S.A.;CLOTRIMAZOL;
F-16614/17;CUTANIL PASTA TÓPICA 1%;20/12/2007;ITF - LABOMED FARMACÉUTICA LTDA.;Clotrimazol;
H-1143/19;CYNARA COMPUESTA SOLUCIÓN PARA GOTAS ORALES;20/05/2009;LAURA XIMENA POLANCO GONZÁLEZ;;
F-6412/20;DALEPARIN SUPOSITORIOS ADULTO 500 mg;13/12/1985;LABORATORIO PASTEUR S.A.;PARACETAMOL;
H-886/20;DAMIANA COMPUESTA SOLUCIÓN ORAL PARA GOTAS;13/03/1989;KNOP LABORATORIOS S.A.;;
F-26807/22;DAYS COMPRIMIDOS 1,5 mg (LEVONORGESTREL);19/05/2022;LABORATORIO CHILE S.A.;LEVONORGESTREL;
K-64/19;DELTISAN EMULSIÓN DÉRMICA;9/03/1979;LABORATORIO VALMA SPA;;
H-1243/18;DENTIK GLÓBULOS;30/04/2018;KNOP LABORATORIOS S.A.;;
F-10001/21;DENTILIM SOLUCIÓN PARA COLUTORIO 0,1%;6/08/1991;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;CLORHEXIDINA;
F-20928/19;DERMALIV CREMA TÓPICA;13/02/2014;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;ALCANFOR//BENZOCAINA//MENTOL//TRICLOSAN;
F-16768/18;DERMICIN CREMA TÓPICA 1 %;24/04/2008;EUROFARMA CHILE S.A.;CLOTRIMAZOL;
N-211/21;DERMIMAM CREMA COMPUESTA;2/05/1991;LABORATORIO PASTEUR S.A.;;
F-23469/22;DESEPTINE SHAMPOO;2/06/2017;LABORATORIO VALMA SPA;DELTAMETRINA//PIPERONIL BUTOXIDO;
F-12994/18;DEUCODOL FORTE SUSPENSIÓN ORAL 200 mg/5 mL;15/07/2003;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;IBUPROFENO;
F-25702/20;DEUCODOL FORTE SUSPENSIÓN ORAL 200 mg/5 mL (IBUPROFENO);23/09/2020;EUROFARMA CHILE S.A.;IBUPROFENO;
F-753/18;DEUCODOL SUSPENSIÓN ORAL 100 mg/5 mL;28/08/1998;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;IBUPROFENO;
F-25703/20;DEUCODOL SUSPENSIÓN ORAL 100 mg/5 mL (IBUPROFENO);23/09/2020;EUROFARMA CHILE S.A.;IBUPROFENO;
F-26645/22;DICHLOREXAN COLUTORIO 0,12% (CLORHEXIDINA GLUCONATO);21/02/2022;DIFEM LABORATORIOS S.A.;CLORHEXIDINA GLUCONATO;
F-7524/21;DICHLOREXAN JABÓN LÍQUIDO 4%;23/03/2001;DIFEM LABORATORIOS S.A.;CLORHEXIDINA;
F-24951/19;DICHLOREXAN PLUS COLOREADA SOLUCIÓN TÓPICA;22/07/2019;DIFEM LABORATORIOS S.A.;CLORHEXIDINA//ISOPROPANOL;
F-25502/20;DICHLOREXAN PLUS INCOLORA SOLUCION TOPICA ;24/06/2020;DIFEM LABORATORIOS S.A.;CLORHEXIDINA//ISOPROPANOL;
F-10092/21;DICHLOREXAN SOLUCIÓN TÓPICA 2 %;31/12/2001;DIFEM LABORATORIOS S.A.;CLORHEXIDINA;
F-18108/20;DICHLOREXAN SOLUCIÓN TÓPICA 2%;7/06/2010;DIFEM LABORATORIOS S.A.;CLORHEXIDINA;
F-17130/18;DICLAC GEL TÓPICO 1,16 %;6/10/2008;EUROFARMA CHILE S.A.;DICLOFENACO;
F-26521/21;DICLAC GEL TÓPICO 1,16 % (DICLOFENACO DIETILAMINA);1/12/2021;EUROFARMA CHILE S.A.;DICLOFENACO;
F-22579/21;DICLOFENACO DIETILAMINA 1,16%;15/04/2016;OPKO CHILE S.A.;DICLOFENACO;
F-24011/18;DICLOFENACO DIETILAMINA GEL TÓPICO 1,16 % ;7/08/2018;ASCEND LABORATORIES S.p.A.;DICLOFENACO;
F-25656/20;DICLOFENACO DIETILAMINA GEL TOPICO 1,16%;25/08/2020;LABORATORIO HOSPIFARMA CHILE LTDA.;DICLOFENACO;
F-24725/19;DICLOFENACO DIETILAMINA GEL TÓPICO 1,16%;27/03/2019;ETHON PHARMACEUTICALS S.p.A.;DICLOFENACO;
F-23408/22;DICLOFENACO DIETILAMINA GEL TÓPICO 1,16%;30/03/2017;DROGUERÍA GLOBAL PHARMA S.p.A.;DICLOFENACO;
